"","lea_street","City","lea_state","lea_zip"
"58","3102 North 56th Street","Phoenix","AZ","85018"
"59","2920 North 7th Street","Phoenix","AZ","85012"
"60","1440 South Longmore","Mesa","AZ","85202"
"61","3775 East Union Hills Drive","Phoenix","AZ","85050"
"62","2002 East Baseline Road","Phoenix","AZ","85042"
"63","2165 North Power Road","Mesa","AZ","85215"
"64","315 East Mulberry Drive","Phoenix","AZ","85012"
"65","7500 Civic Drive","Prescott Valley","AZ","86314"
"66","4433 North 7th Street","Phoenix","AZ","85014"
"67","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona","Phoenix","AZ",NA
"68","5704 East Grant Road","Tucson","AZ","85712"
"69","335 East Germann Road","Gilbert","AZ","85297"
"70","1601 West Jefferson Street","Phoenix","AZ","85007"
"71","4858 E Baseline Rd #103","Mesa","AZ","85206"
"72","4645 East Marilyn Road","Phoenix","AZ","85032"
"73","2045 West Northern Avenue","Phoenix","AZ","85021"
"74","2611 Temple Heights Dr","Oceanside","AZ","92056"
"75","1410 North 3rd Street","Phoenix","AZ","85004"
"76","2500 East Van Buren Street","Phoenix","AZ","85008"
"77","1200 West Speedway Boulevard","Tucson","AZ","85745"
"78","9410 South 355th Avenue","Arlington","AZ","85322"
"79","6460 E HIGHWAY 181","PEARCE","AZ","85625"
"80","46999 N 5th Street","Ash Fork","AZ","86320"
"81","1130 East University Drive","Tempe","AZ","85281"
"82","300 East University Drive","Tempe","AZ","85281"
"83","735 East Fillmore Street","Phoenix","AZ","85006"
"84","1130 East University Drive","Tempe","AZ","85281"
"85","735 East Fillmore Street","Phoenix","AZ","85006"
"86","7350 Innovation Way South","Mesa","AZ","85212"
"87","6950 East Williams Field Road","Mesa","AZ","85212"
"88","735 East Fillmore Street","Phoenix","AZ","85006"
"89","6950 East Williams Field Road","Mesa","AZ","85212"
"90","1130 East University Drive","Tempe","AZ","85281"
"91","Casa Grande, AZ Casa Grande is a city in Pinal county, Arizona","Casa Grande","AZ",NA
"92","1130 East University Drive","Tempe","AZ","85281"
"93","295 West Western Avenue","Avondale","AZ","85323"
"94","7318 West Lynwood Street","Phoenix","AZ","85035"
"95","2020 North Arizona Avenue","Chandler","AZ","85225"
"96","Yuma, AZ Yuma is a city in Yuma county, Arizona","Yuma","AZ",NA
"97","Sells, AZ Sells is a city in Pima county, Arizona","Sells","AZ",NA
"98","515 Breezy Circle","Bagdad","AZ","86321"
"99","2207 North Dobson Road","Chandler","AZ","85224"
"100","17606 North 7th Avenue","Phoenix","AZ","85023"
"101","4120 South Val Vista Drive","Gilbert","AZ","85297"
"102","4825 East Roosevelt Street","Phoenix","AZ","85008"
"103","11850 North 32nd Street","Phoenix","AZ","85028"
"104","25952 North Lake Pleasant Parkway","Peoria","AZ","85383"
"105","2002 West Southern Avenue","Phoenix","AZ","85041"
"106","7975 North Hayden Road","Scottsdale","AZ","85258"
"107","7496 East Tierra Buena Lane","Scottsdale","AZ","85260"
"108","7975 North Hayden Road","Scottsdale","AZ","85258"
"109","7975 North Hayden Road","Scottsdale","AZ","85258"
"110","7975 North Hayden Road","Scottsdale","AZ","85258"
"111","7975 North Hayden Road","Scottsdale","AZ","85258"
"112","7975 North Hayden Road","Scottsdale","AZ","85258"
"113","13613 North Cave Creek Road","Phoenix","AZ","85022"
