"","lea_street, City, lea_state, lea_zip","No_Match"
"517","2400 South 247th Avenue, Buckeye, AZ, 85326","No_Match"
"638","3555 East Fry Boulevard, Sierra Vista, AZ, 85635","Match","Exact","3555 E FRY BLVD, SIERRA VISTA, AZ, 85635","-110.262985,31.554636","120925813","L"
"518","2100 Willow Creek Road, Prescott, AZ, 86301","Match","Exact","2100 WILLOW CREEK RD, PRESCOTT, AZ, 86301","-112.48221,34.57825","159456381","L"
"639","3150 Old Skull Valley Road, Skull Valley, AZ, 86338","Match","Exact","3150 OLD SKULL VALLEY RD, SKULL VALLEY, AZ, 86338","-112.68796,34.49775","639047214","L"
"519","10700 South Palo Verde Road, Palo Verde, AZ, 85343","Match","Exact","10700 S PALO VERDE RD, PALO VERDE, AZ, 85343","-112.67702,33.349464","128423381","L"
"640","978 Preschool Road, Bapchule, AZ, 85121","No_Match"
"520","38739 W I 8, GILA BEND, AZ, 85337","No_Match"
"641","7500 South 40th Street, Phoenix, AZ, 85042","No_Match"
"400","3033 McDonald Avenue, Kingman, AZ, 86401","No_Match"
"521","6849 Arizona 92, Hereford, AZ, 85615","No_Match"
"642","125 South Rush Street, Prescott, AZ, 86303","Match","Exact","125 S RUSH ST, PRESCOTT, AZ, 86303","-112.456894,34.541637","159457172","R"
"401","150 Main Street, Kirkland, AZ, 86332","No_Match"
"522","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona, Phoenix, AZ, NA","No_Match"
"643","682 West School Bus Lane, Snowflake, AZ, 85937","Match","Exact","682 W SCHOOL BUS LN, SNOWFLAKE, AZ, 85937","-110.08965,34.505154","172586098","R"
"402","8700 South Kyrene Road, Tempe, AZ, 85284","Match","Exact","8700 S KYRENE RD, TEMPE, AZ, 85284","-111.94566,33.335823","128779924","R"
"523","15002 North 32nd Street, Phoenix, AZ, 85032","Match","Exact","15002 N 32ND ST, PHOENIX, AZ, 85032","-112.013336,33.622738","128185322","L"
"644","2250 South Stevens Avenue, Solomon, AZ, 85551","No_Match"
"403","124 North Virginia Street, Prescott, AZ, 86301","Match","Exact","124 NORTH VIRGINIA ST, PRESCOTT, AZ, 86301","-112.46183,34.542744","159457096","L"
"524","12775 North 175th Avenue, Surprise, AZ, 85388","Match","Non_Exact","12775 N 175 DR, SURPRISE, AZ, 85388","-112.436676,33.6001","617972096","R"
"645","343 Carlisle Avenue, Somerton, AZ, 85350","No_Match"
"404","2200 Havasupai Boulevard, Lake Havasu City, AZ, 86403","Match","Exact","2200 HAVASUPAI BLVD, LAKE HAVASU CITY, AZ, 86403","-114.33096,34.49822","190280833","R"
"525","2508 East Halcyon Road, Tucson, AZ, 85716","Match","Non_Exact","2508 E HALCYON ST, TUCSON, AZ, 85716","-110.93493,32.267666","121168470","R"
"646","23 ELGIN RD, ELGIN, AZ, 85611","No_Match"
"405","5001 W DOBBINS RD, LAVEEN, AZ, 85339","Match","Exact","5001 W DOBBINS RD, LAVEEN, AZ, 85339","-112.16739,33.36293","642658251","L"
"526","11039 West Olive Avenue, Peoria, AZ, 85345","Match","Exact","11039 W OLIVE AVE, PEORIA, AZ, 85345","-112.29538,33.56557","128314392","L"
"647","6724 South Kings Ranch Road, Gold Canyon, AZ, 85118","No_Match"
"406","633 East Ray Road, Gilbert, AZ, 85296","Match","Exact","633 E RAY RD, GILBERT, AZ, 85296","-111.77641,33.3211","128839076","R"
"527","9030 Florentine Road, Prescott Valley, AZ, 86314","No_Match"
"648","7450 South 40th Street, Phoenix, AZ, 85042","Match","Exact","7450 S 40TH ST, PHOENIX, AZ, 85042","-111.99556,33.382412","243919346","R"
"407","633 East Ray Road, Gilbert, AZ, 85296","Match","Exact","633 E RAY RD, GILBERT, AZ, 85296","-111.77641,33.3211","128839076","R"
